NOC,Athletics,Hockey,Wrestling,Boxing,Judo,Swimming,Cycling Road,Taekwondo,Shooting,Football,Sailing,Equestrian,Weightlifting,Synchronized Swimming,Fencing,Triathlon,Canoeing,Gymnastics,Tennis,Rowing,Cycling,Handball,Table Tennis,Volleyball,Badminton,Karate,Marathon Swimming,Basketball,Beach Volleyball,Rugby,Golf,Water Polo,Modern Pentathlon,Diving,Archery,Cycling BMX Racing,Cycling BMX Freestyle,Surfing,Skateboarding,Cycling Mountain Bike,Baseball,Artistic Swimming,Cycling Track,Softball,Breaking,Sport Climbing
MRI,51,0,2,17,8,29,2,0,0,0,3,0,8,0,0,3,0,0,0,0,2,0,5,0,30,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
MTN,25,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYA,28,0,0,18,3,8,0,0,7,13,6,0,16,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
NAM,50,0,2,14,0,9,3,0,8,0,0,0,0,0,0,0,0,5,0,1,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
NBO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCA,40,0,1,14,7,25,0,1,10,0,0,0,12,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0
NED,519,1677,5,41,176,981,39,7,41,49,268,362,4,14,24,23,92,355,54,925,535,46,44,238,41,0,13,36,42,0,3,278,6,17,65,23,0,0,4,6,92,6,147,30,3,0
NEP,41,0,0,15,6,16,0,3,9,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NGR,590,0,49,87,11,15,3,10,0,359,0,0,32,0,0,0,7,7,6,2,0,16,80,0,9,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,24,0,0,14,5,12,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,316,0,62,18,4,103,14,12,208,211,245,24,29,0,48,16,180,217,6,212,134,606,0,0,3,0,3,0,44,0,10,0,0,10,18,1,0,0,0,2,0,0,2,0,0,0
NRU,2,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZL,337,444,18,24,21,349,10,9,50,164,333,196,29,6,8,51,295,72,16,703,259,0,17,0,15,1,0,60,2,326,19,0,1,8,10,4,0,4,0,3,0,2,105,15,0,2
OMA,42,0,0,2,0,5,0,0,23,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK,133,687,33,46,2,20,0,0,31,0,10,0,11,0,0,0,0,0,0,3,28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN,47,0,18,10,7,36,2,2,4,0,0,0,17,0,3,0,1,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR,35,0,0,4,6,25,1,0,10,104,2,0,0,0,9,0,0,0,10,8,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PER,78,0,23,7,7,82,1,3,91,19,15,2,11,0,5,0,1,9,4,16,11,0,11,111,7,1,1,12,0,0,0,0,1,2,0,0,0,7,1,0,0,0,0,0,0,0
PHI,84,0,24,87,17,183,0,11,61,0,20,3,37,0,3,0,0,67,0,4,27,0,1,0,1,0,0,60,0,0,6,0,0,4,10,0,0,0,1,0,0,0,0,0,0,0
PLE,13,0,0,1,4,12,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLW,11,0,4,0,1,11,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNG,62,0,0,17,2,16,0,6,3,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL,1302,92,255,235,117,345,15,6,225,296,121,132,195,0,582,8,399,670,54,419,252,86,53,323,32,0,1,80,14,0,2,0,98,22,77,0,0,0,1,4,0,0,46,0,0,11
POR,399,0,17,1,72,174,9,3,67,53,130,97,8,0,56,19,74,169,19,29,41,15,30,0,12,0,3,0,8,0,2,9,15,1,8,0,0,4,3,2,0,0,24,0,1,0
PRK,41,0,69,54,60,0,0,0,71,46,0,0,112,6,0,0,0,288,0,6,3,0,68,22,0,0,0,0,0,0,0,0,0,42,19,0,0,0,0,0,0,0,0,0,0,0
PUR,171,0,35,96,41,192,0,5,62,0,45,8,33,2,13,1,0,45,12,3,5,0,8,12,0,0,0,144,2,0,3,0,0,16,8,0,0,0,3,0,20,0,0,15,0,0
QAT,123,0,0,2,2,10,0,1,22,31,2,8,15,0,1,0,0,0,0,1,0,15,4,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RHO,4,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ROC,20,0,49,25,27,123,5,22,63,0,6,10,2,0,136,8,32,175,41,19,0,60,3,60,4,0,2,32,12,13,0,13,3,13,21,3,2,0,0,2,0,80,27,0,0,3
ROT,6,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROU,454,0,267,163,65,255,1,0,177,51,8,52,115,0,405,2,452,1617,57,1247,35,216,56,64,1,0,0,16,0,0,0,106,21,23,7,0,0,0,0,2,0,0,0,0,0,0
RSA,394,198,22,51,10,416,10,1,25,85,43,7,13,4,29,20,49,69,33,105,109,0,2,0,23,0,2,0,8,78,10,43,11,9,14,2,1,7,6,5,24,2,7,0,0,6
RUS,931,0,362,164,125,496,0,19,262,0,74,21,115,441,451,20,164,999,114,126,226,366,39,352,32,0,0,130,18,0,1,178,52,167,57,0,0,0,0,0,0,0,0,0,0,0
RWA,43,0,0,0,1,14,4,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA,8,0,3,3,0,1,0,0,3,0,0,0,0,0,15,0,5,48,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAM,15,0,4,21,5,4,0,2,0,0,3,0,15,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SCG,46,0,3,1,4,28,0,0,46,17,0,0,1,0,2,0,11,0,3,12,1,15,13,124,0,0,0,72,0,0,0,87,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SEN,169,0,41,6,49,28,0,4,3,17,1,0,0,0,8,0,11,0,0,0,0,0,3,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEY,49,0,0,14,5,29,0,0,0,0,12,0,5,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGP,31,17,0,1,2,169,0,0,19,0,46,2,14,0,8,0,3,6,0,3,0,0,62,0,27,0,1,10,0,0,1,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SKN,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,101,0,0,9,2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLO,127,0,0,0,63,120,23,6,36,0,52,0,0,0,0,2,65,32,20,72,36,79,14,13,3,0,1,12,0,0,3,0,0,0,14,0,0,0,0,2,0,0,0,0,0,19
SMR,21,0,4,0,10,29,0,0,67,0,3,0,2,0,0,0,0,7,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SOL,19,0,0,1,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SOM,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRB,49,0,23,5,19,58,2,31,92,15,0,0,0,0,0,0,55,0,42,19,6,15,10,145,0,8,0,132,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRI,69,0,1,10,2,29,0,0,23,0,4,1,4,0,0,0,0,5,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SSD,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STP,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUD,58,0,0,20,4,10,0,0,6,14,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUI,391,28,62,18,51,277,19,1,197,17,159,368,11,25,178,61,88,732,92,278,297,42,2,0,15,1,0,14,40,0,7,0,39,14,16,10,3,0,0,24,0,0,16,0,0,2
SUR,30,0,0,0,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
SVK,119,0,16,4,11,52,6,0,79,18,8,0,10,6,0,3,261,34,51,5,45,0,10,0,3,0,0,12,0,0,4,13,0,0,4,0,0,0,1,0,0,0,0,0,0,0
SWE,504,0,241,66,35,783,2,8,253,314,398,440,46,1,189,8,401,488,54,118,198,412,103,12,36,0,4,12,22,0,15,19,107,57,75,0,0,0,2,3,0,0,0,0,0,0
SWZ,36,0,0,9,0,20,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYR,41,0,41,20,10,15,0,0,12,15,0,3,15,0,0,2,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TAN,115,16,0,36,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCH,332,64,83,51,18,78,0,0,155,214,8,3,59,1,25,0,169,908,30,304,165,136,12,128,2,0,0,97,0,0,0,12,36,20,4,0,0,0,0,0,0,0,0,0,0,0
TGA,22,0,0,17,1,7,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
THA,163,0,0,143,12,88,4,41,131,28,39,9,99,0,19,0,2,0,13,8,50,0,14,0,69,0,0,9,0,0,12,0,1,6,7,3,0,0,1,0,0,0,2,0,0,0
TJK,20,0,15,18,23,11,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
TKM,13,0,2,7,13,13,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLS,9,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOG,33,0,0,8,3,6,0,0,0,0,0,0,0,0,0,1,4,0,1,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPE,142,0,7,41,52,166,1,46,75,13,13,2,97,0,10,0,6,134,26,6,41,0,89,0,76,3,0,11,0,0,12,0,3,6,139,0,0,0,0,0,127,0,0,45,1,0
TTO,373,0,0,6,2,42,1,2,8,0,8,0,9,0,0,0,0,4,0,2,45,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
TUN,97,0,43,52,43,55,0,25,11,65,11,0,18,0,44,0,17,8,8,13,10,72,19,82,0,0,5,12,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0
TUR,232,0,460,107,63,130,3,44,62,26,57,19,131,0,10,0,2,76,1,5,18,0,7,37,4,13,5,34,0,0,0,0,4,2,80,0,0,0,0,0,0,0,0,0,0,0
TUV,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,25,0,0,0,14,64,1,1,24,18,1,7,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAR,2,0,7,5,0,0,0,0,3,17,0,6,7,0,9,0,0,48,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0
UGA,231,17,0,84,0,14,1,0,0,0,0,0,7,0,0,0,0,0,0,2,2,0,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UKR,516,0,172,105,62,260,5,3,162,18,79,28,82,18,194,12,145,570,37,133,115,30,16,12,21,7,1,12,0,0,0,13,23,85,96,0,0,0,0,3,0,22,9,0,3,2
URS,1735,79,710,269,94,795,0,0,320,405,190,301,409,5,897,0,594,2139,10,788,394,541,8,864,0,0,0,680,0,0,0,353,177,146,44,0,0,0,0,0,0,0,0,0,0,0
URU,44,0,0,17,8,70,1,1,7,16,34,9,4,0,8,0,5,0,2,37,92,0,0,0,0,0,0,83,0,14,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
USA,5656,172,687,508,147,6810,22,57,680,956,682,759,252,194,637,67,370,2004,336,1677,501,129,85,857,45,5,8,2620,182,89,44,791,116,502,241,12,14,23,33,11,300,40,73,576,5,19
UZB,105,0,116,156,105,61,6,37,22,21,0,0,47,0,7,0,54,87,7,11,5,0,2,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0
VAN,26,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VEN,139,0,39,103,44,173,1,13,62,16,22,12,43,5,107,2,5,23,11,4,103,0,12,34,0,3,1,22,4,0,2,0,0,19,5,0,4,0,0,0,0,0,0,15,0,0
VIE,31,0,8,6,5,44,1,13,37,0,0,0,15,0,5,0,2,17,0,9,1,0,2,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
VIN,39,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNM,5,0,0,1,3,9,0,0,5,0,0,0,0,0,8,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIF,17,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR,7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEM,16,0,1,0,10,7,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMD,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUG,146,0,119,78,26,88,0,0,71,312,17,6,4,0,2,0,75,394,5,130,50,473,17,12,0,0,0,384,0,0,0,482,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ZAM,84,0,2,57,14,18,0,0,0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,87,135,0,9,7,98,0,0,21,17,8,1,1,0,0,3,0,0,19,9,9,0,0,0,0,0,0,0,0,0,1,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0
